epoch,model,perplexity
0,model_0.2k_600_100.pth,60.0798699780116
1,model_0.2k_600_100.pth,4.0991938265543135
2,model_0.2k_600_100.pth,4.119682141712734
3,model_0.2k_600_100.pth,3.458632885463654
4,model_0.2k_600_100.pth,3.0688552345548357
5,model_0.2k_600_100.pth,3.1403737143864707
6,model_0.2k_600_100.pth,3.103913117968847
7,model_0.2k_600_100.pth,3.0138576484861828
8,model_0.2k_600_100.pth,3.038727400794862
9,model_0.2k_600_100.pth,3.1494462130561707
10,model_0.2k_600_100.pth,3.0425103940660994
11,model_0.2k_600_100.pth,2.9941070477167764
12,model_0.2k_600_100.pth,3.110371404223972
13,model_0.2k_600_100.pth,3.0873181327940924
14,model_0.2k_600_100.pth,3.077413454888359
15,model_0.2k_600_100.pth,3.107372244199117
16,model_0.2k_600_100.pth,3.016794730746557
17,model_0.2k_600_100.pth,3.023887450732882
18,model_0.2k_600_100.pth,2.9893326664727833
19,model_0.2k_600_100.pth,2.9485519708149015
